equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_H1→H2 2025,R2_8mo→5mo,R2_Apr-Sep→Oct-Feb
7abaa4b095caff62a1087e928efe4f62af4cf7f69632085133,400,154.0,184.0,0.0775,11.0,-2.2,4.714866,0.1,18.0,-0.0459,H1→H2 2025,-0.0459,-0.0526,-0.1067
7dd1d39fdc5dca5ab15e95526c6f11c139e20a3bcbe314cc5b,399,241.0,156.0,0.798,40.1,8.3,0.001326,0.1,21.0,0.144,8mo→5mo,-0.3758,0.144,-0.0549
85e160168af01c93f25941068e4c9cfe071db7edb14aff7a62,400,242.0,157.0,0.8054,28.2,-21.5,0.494171,0.1,21.0,-0.0876,8mo→5mo,-0.6938,-0.0876,-1.1423
920285791f1733a28b7170d9ae40aab8a896f3157d6081fbf0,399,179.0,184.0,0.3379,100.6,-83.0,2.682696,0.1,21.0,-0.7729,H1→H2 2025,-0.7729,-3.2807,-3.9756
927f07a210ae9f5451240a58591af946d820a769bca22ed15f,400,143.0,127.0,0.6781,36.5,4.1,0.001,0.1,17.0,-0.0124,Apr-Sep→Oct-Feb,-0.0135,-0.0134,-0.0124
94976f0e3746028380c19e31701afbf044c7a15ce313764dbb,400,150.0,127.0,0.1932,35.3,-3.9,1.526418,0.1,20.0,-0.0011,Apr-Sep→Oct-Feb,-0.0112,-0.0602,-0.0011
95a62af4053bc490b3665722b83a04bcad75dc56aba50124e2,400,168.0,184.0,0.4418,52.8,-12.0,0.120679,0.1,21.0,0.0654,H1→H2 2025,0.0654,-0.6611,-2.0797
96249aa3ac920e90b90c545fe23754dbfc47de0a44b686c477,400,237.0,157.0,0.6207,13.0,-8.1,1.151395,0.1,21.0,-0.1901,8mo→5mo,-0.5007,-0.1901,-0.5257
9792671c468bf50985778c6ecdb02409f20be1028c2f7cea49,400,161.0,184.0,0.2086,63.9,-9.3,1.151395,0.1,21.0,0.243,H1→H2 2025,0.243,-0.1379,-1.6646
98f7b6b5f30423715ad6218123db57a76cf11debfef04185da,400,225.0,157.0,0.0,66.7,-60.1,1000.0,0.1,0.0,-4.3165,8mo→5mo,-12.771,-4.3165,-325.5311
9aa6627f682e8a2cf4a5f51e3edf0938c58d7e8bae45d70d38,400,180.0,184.0,0.6651,26.8,-2.5,1.526418,0.9,9.0,0.1797,H1→H2 2025,0.1797,-0.0074,0.0634
a01058ebafc16c9a798b01d41ecbe32ee2bbb7171ab22db6f2,400,169.0,127.0,0.5392,28.1,0.6,0.051795,0.3,11.0,0.0046,Apr-Sep→Oct-Feb,0.0011,0.0011,0.0046
a2cf069bc9be017aa1f1032536adca0f014cf9c341435043e1,400,170.0,184.0,0.0,18.3,0.1,1000.0,0.1,0.0,-0.0,H1→H2 2025,-0.0,-0.0,-0.0
a4ba8761bada2f8b96c00a54839dcd48dfbce5d30a483c8b0c,400,149.0,184.0,0.0,19.0,-3.1,1000.0,0.1,0.0,-0.0269,H1→H2 2025,-0.0269,-0.0924,-0.1019
