equip_id,n_rows,best_n_train,best_n_test,best_R2_train,best_CVRMSE,best_NMBE,best_alpha,best_l1_ratio,best_n_features,best_R2,best_period,R2_Annual Y2→Y3,R2_Semi H2→H1 2024,R2_AllHist→2024
Mr8FmIsaAEoiVHIE3sgdS10UKjmXwgaZYQ==,1569,339.0,365.0,0.0802,245.4,21.4,0.012649,0.9,8.0,-0.01,Annual Y2→Y3,-0.01,-1.4777,-0.0563
Mr906J4IZVZ+0vI4gWGGBoQ55q5YGZ/q,1569,182.0,182.0,0.4706,96.2,25.9,0.001326,0.7,21.0,0.0843,Semi H2→H1 2024,0.0232,0.0843,0.0832
Mr906J5nel/L4jvvzXgkeUq8NJZAtws=,1569,183.0,182.0,0.5355,35.3,-9.3,0.159986,0.9,6.0,0.3343,Semi H2→H1 2024,-0.0021,0.3343,0.2702
Mr916J4IZVZ7BduovuHaP7RQZCvg5bBs,1569,137.0,182.0,0.5248,169.2,-28.1,0.068665,0.1,20.0,0.0201,Semi H2→H1 2024,-0.0136,0.0201,-0.0281
Mr916JoIZV6E5ZqrxO+dckVIp2wjcB+I,1569,212.0,291.0,0.0,213.1,74.1,1000.0,0.1,0.0,-0.1376,AllHist→2024,,-10.2535,-0.1376
Mr916JoIZV9j5FZgP2ZKW9V3JzAaQHYK,1569,323.0,365.0,0.0,384.6,36.1,1000.0,0.1,0.0,-0.0089,Annual Y2→Y3,-0.0089,-4.9664,-0.0722
Mr916JoIZVCg71ZMAZXWy6Q1pEV8UiaT,1569,170.0,182.0,0.5461,30.1,-8.2,0.494171,0.9,12.0,0.016,Semi H2→H1 2024,-0.0077,0.016,-0.0127
Mr916JoIZVKs7M/b9oZ4mIRKpP0OMvWW,1569,163.0,182.0,0.2047,19.2,-1.6,0.212095,0.9,7.0,0.0144,Semi H2→H1 2024,-0.0012,0.0144,-0.2384
Mr916JoIZVNL7QMQDQ+vsRR1JKE3ApwU,1569,307.0,365.0,0.2687,294.1,-27.9,0.001758,0.9,20.0,-0.0029,Annual Y2→Y3,-0.0029,-0.1519,-0.3353
Mr916JoIZVS46GVj77KKbeTLpTWYk4CZ,1569,335.0,365.0,0.0452,367.1,-8.9,2.682696,0.1,9.0,-0.0002,Annual Y2→Y3,-0.0002,-0.6256,-4.0552
Mr916JoIZVVf6amoFDtdRHT0JWmho+kb,1359,306.0,365.0,0.0,195.6,52.6,1000.0,0.1,0.0,-0.0778,Annual Y2→Y3,-0.0778,-2.7318,-0.6965
Mr916JoIZVYijNcxeCzlskd1RVy+Vs1QFQ==,1569,352.0,365.0,0.6704,396.6,-7.9,0.655129,0.1,18.0,0.0026,Annual Y2→Y3,0.0026,-1.3722,-1.2978
Mr916JoIZVYjbrQwtOceO5Bc1WM+CvRgfA==,1546,128.0,169.0,0.0,inf,inf,1000.0,0.1,0.0,0.0,Semi H2→H1 2024,-0.0003,0.0,-0.0001
Mr926IJne7Yjjndq2BPAdKehdOGxwVE=,1569,356.0,365.0,0.7336,286.9,29.9,0.281177,0.1,13.0,-0.0084,Annual Y2→Y3,-0.0084,-0.0915,-0.6045
Mr926J0CZVYyuBA8k87fdwL4CPwxfi9U,1569,179.0,182.0,0.5929,28.5,4.4,0.039069,0.9,20.0,0.283,Semi H2→H1 2024,-0.0039,0.283,-0.198
